modelo,casos,cobertura_media,cves_no_fundamentados_total,latencia_media_s,tokens_totales,coste_estimado_total
free,4,0.979,2,25.384,7466,
deepseek,4,0.95,2,22.2,3844,0.000888
qwen,4,1.0,1,38.136,4951,0.001908
llama,4,0.867,0,8.106,2972,0.000891
mistral,4,1.0,11,17.31,6158,0.031516
